"word";"text_thread_id";"Yhteensä";"Suomi24 2021–2023: 2021";"Suomi24 2021–2023: 2022";"Suomi24 2021–2023: 2023"
"kakun";"10789285";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihaa";"10791405";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kakku";"10795814";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kahvi";"10801466";"0.002110932718767077";"0.006365315811706728";"0";"0"
"juusto";"10802847";"0.006332798156301231";"0.006365315811706728";"0";"0.011662659668371106"
"kananmunan";"1081379";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10820016";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10826071";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kahvi";"10826806";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalja";"10828365";"0.004221865437534154";"0.012730631623413455";"0";"0"
"kahvi";"10829504";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmunan";"10829610";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kahvi";"10830939";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10834144";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10836169";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10845384";"0.004221865437534154";"0";"0";"0.011662659668371106"
"jauhelihakeitto";"10850516";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalja";"10854396";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihaa";"10859881";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10860695";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"10873539";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kananmuna";"10873799";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihaa";"10875863";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kala";"10897595";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kaali";"10901828";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jäätelö";"10902738";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kana";"10906146";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10909561";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kastike";"10910316";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauho";"10923632";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"10923837";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kaali";"10924183";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10928523";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jäätelö";"10929870";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10936229";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kana";"10942915";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jälkiruoka";"10943631";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10946238";"0.004221865437534154";"0";"0.01378023793303321";"0"
"kananmuna";"10946459";"0.004221865437534154";"0.012730631623413455";"0";"0"
"kahvi";"10946718";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"10948560";"0.004221865437534154";"0.012730631623413455";"0";"0"
"kala";"10950605";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalja";"10955605";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kahvi";"10963580";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kala";"10970482";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalakukko";"10972772";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalja";"1097683";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10978235";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmunan";"10978235";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kani";"10980537";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"10990383";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"10995858";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kana";"10997893";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kalja";"11000405";"0.004221865437534154";"0";"0.01378023793303321";"0"
"jauhelihakeitto";"11003101";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"11003225";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kakun";"11004022";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"11004485";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"11006622";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kana";"11016482";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"11021840";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"11024279";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kala";"11026702";"0.004221865437534154";"0";"0.01378023793303321";"0"
"kani";"1102808";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jänis";"11034236";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kaali";"11034561";"0.004221865437534154";"0";"0.01378023793303321";"0"
"karpalo";"11039100";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kananmunan";"11042107";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kananmuna";"11042583";"0.002110932718767077";"0";"0.006890118966516605";"0"
"jauhelihakeitto";"11043260";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauho";"11054167";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauho";"11058750";"0.002110932718767077";"0";"0";"0.005831329834185553"
"karjalanpiirakka";"11060840";"0.002110932718767077";"0";"0";"0.005831329834185553"
"jauhelihakeitto";"11062011";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kani";"11069340";"0.010554663593835384";"0.01909594743512018";"0.01378023793303321";"0"
"kani";"11084629";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kala";"11088249";"0.002110932718767077";"0.006365315811706728";"0";"0"
"jauhelihakeitto";"11089102";"0.004221865437534154";"0";"0";"0.011662659668371106"
"kakku";"11106324";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kana";"11120922";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalkkuna";"11131334";"0.002110932718767077";"0";"0";"0.005831329834185553"
"kalkkuna";"11134133";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kakun";"11134271";"0.002110932718767077";"0.006365315811706728";"0";"0"
"kalja-";"11134333";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kala";"11142957";"0.002110932718767077";"0";"0.006890118966516605";"0"
"kani";"11148675";"0.004221865437534154";"0";"0.01378023793303321";"0"
"jauhelihakeitto";"11160993";"0.004221865437534154";"0";"0";"0.011662659668371106"
